folder,file,size
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069907/1,1_G4KNRK069907_UpperZone1[ALWAYS]_Step1_[210741]_OK.jpg,731915
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069907/1,1_G4KNRK069907_LowerZone2[ALWAYS]_Step4_[210741]_OK.jpg,358612
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069907/1,1_G4KNRK069907_UpperZone2[ALWAYS]_Step2_[210741]_OK.jpg,705199
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069907/1,1_G4KNRK069907_LowerZone1[ALWAYS]_Step3_[210741]_OK.jpg,364409
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069919/1,1_G4KNRK069919_LowerZone2[ALWAYS]_Step4_[211904]_OK.jpg,352411
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069919/1,1_G4KNRK069919_UpperZone1[ALWAYS]_Step1_[211904]_OK.jpg,711343
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069919/1,1_G4KNRK069919_UpperZone2[ALWAYS]_Step2_[211904]_OK.jpg,660351
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069919/1,1_G4KNRK069919_LowerZone1[ALWAYS]_Step3_[211904]_OK.jpg,364915
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070046/1,1_G4KNRK070046_LowerZone2[ALWAYS]_Step4_[230730]_OK.jpg,345431
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070046/1,1_G4KNRK070046_UpperZone2[ALWAYS]_Step2_[230730]_OK.jpg,656030
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070046/1,1_G4KNRK070046_LowerZone1[ALWAYS]_Step3_[230730]_OK.jpg,359855
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070046/1,1_G4KNRK070046_UpperZone1[ALWAYS]_Step1_[230730]_OK.jpg,702004
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070051/1,1_G4KNRK070051_UpperZone2[ALWAYS]_Step2_[231026]_OK.jpg,698589
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070051/1,1_G4KNRK070051_UpperZone1[ALWAYS]_Step1_[231026]_OK.jpg,736757
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070051/1,1_G4KNRK070051_LowerZone1[ALWAYS]_Step3_[231026]_OK.jpg,361767
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070051/1,1_G4KNRK070051_LowerZone2[ALWAYS]_Step4_[231026]_OK.jpg,352389
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069993/1,1_G4KNRK069993_LowerZone2[ALWAYS]_Step4_[221822]_OK.jpg,349319
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069993/1,1_G4KNRK069993_LowerZone1[ALWAYS]_Step3_[221822]_OK.jpg,362289
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069993/1,1_G4KNRK069993_UpperZone1[ALWAYS]_Step1_[221822]_OK.jpg,723325
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069993/1,1_G4KNRK069993_UpperZone2[ALWAYS]_Step2_[221822]_OK.jpg,693373
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069866/1,1_G4KNRK069866_UpperZone2[ALWAYS]_Step2_[202322]_OK.jpg,684518
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069866/1,1_G4KNRK069866_LowerZone1[ALWAYS]_Step3_[202322]_OK.jpg,368778
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069866/1,1_G4KNRK069866_UpperZone1[ALWAYS]_Step1_[202322]_OK.jpg,725177
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069866/1,1_G4KNRK069866_LowerZone2[ALWAYS]_Step4_[202322]_OK.jpg,347970
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069884/1,1_G4KNRK069884_UpperZone2[ALWAYS]_Step2_[203735]_OK.jpg,694761
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069884/1,1_G4KNRK069884_LowerZone1[ALWAYS]_Step3_[203735]_OK.jpg,367296
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069884/1,1_G4KNRK069884_UpperZone1[ALWAYS]_Step1_[203735]_OK.jpg,726511
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069884/1,1_G4KNRK069884_LowerZone2[ALWAYS]_Step4_[203735]_OK.jpg,341899
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070042/1,1_G4KNRK070042_UpperZone2[ALWAYS]_Step2_[230435]_OK.jpg,685873
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070042/1,1_G4KNRK070042_LowerZone1[ALWAYS]_Step3_[230435]_OK.jpg,360350
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070042/1,1_G4KNRK070042_LowerZone2[ALWAYS]_Step4_[230435]_OK.jpg,348306
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070042/1,1_G4KNRK070042_UpperZone1[ALWAYS]_Step1_[230435]_OK.jpg,725472
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070007/1,1_G4KNRK070007_LowerZone1[ALWAYS]_Step3_[223330]_OK.jpg,368226
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070007/1,1_G4KNRK070007_UpperZone2[ALWAYS]_Step2_[223330]_OK.jpg,664454
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070007/1,1_G4KNRK070007_UpperZone1[ALWAYS]_Step1_[223330]_OK.jpg,733808
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070007/1,1_G4KNRK070007_LowerZone2[ALWAYS]_Step4_[223330]_OK.jpg,348241
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069853/1,1_G4KNRK069853_LowerZone1[ALWAYS]_Step3_[195720]_OK.jpg,371933
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069853/1,1_G4KNRK069853_UpperZone2[ALWAYS]_Step2_[195720]_OK.jpg,713777
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069853/1,1_G4KNRK069853_LowerZone2[ALWAYS]_Step4_[195720]_OK.jpg,350532
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069853/1,1_G4KNRK069853_UpperZone1[ALWAYS]_Step1_[195720]_OK.jpg,739636
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070104/1,1_G4KNRK070104_LowerZone2[ALWAYS]_Step4_[235040]_OK.jpg,352879
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070104/1,1_G4KNRK070104_UpperZone1[ALWAYS]_Step1_[235040]_OK.jpg,747789
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070104/1,1_G4KNRK070104_UpperZone2[ALWAYS]_Step2_[235040]_OK.jpg,715341
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070104/1,1_G4KNRK070104_LowerZone1[ALWAYS]_Step3_[235040]_OK.jpg,366666
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070067/1,1_G4KNRK070067_UpperZone2[ALWAYS]_Step2_[232501]_OK.jpg,736441
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070067/1,1_G4KNRK070067_UpperZone1[ALWAYS]_Step1_[232501]_OK.jpg,740567
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070067/1,1_G4KNRK070067_LowerZone1[ALWAYS]_Step3_[232501]_OK.jpg,369552
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070067/1,1_G4KNRK070067_LowerZone2[ALWAYS]_Step4_[232501]_OK.jpg,355863
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069972/1,1_G4KNRK069972_UpperZone1[ALWAYS]_Step1_[220446]_OK.jpg,728313
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069972/1,1_G4KNRK069972_UpperZone2[ALWAYS]_Step2_[220446]_OK.jpg,675032
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069972/1,1_G4KNRK069972_LowerZone2[ALWAYS]_Step4_[220446]_OK.jpg,357046
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK069972/1,1_G4KNRK069972_LowerZone1[ALWAYS]_Step3_[220446]_OK.jpg,368965
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070060/1,1_G4KNRK070060_LowerZone1[ALWAYS]_Step3_[231616]_OK.jpg,359000
/engine1/170-15\ Cam\ Carrier\ Vision/favis_RawImage/2024-03-10/1_G4KNRK070060/1,1_G4KNRK070060_UpperZone2[ALWAYS]_Step2_[231616]_OK.jpg,693790
